ii,Animals,Autos,Comedy,Education,Entertainment,Film,Games,Howto,Music,News,Nonprofit,People,Sports,Tech
0Education%,88.2,50,60.09791667,60.04893617,63.10104167,55.44857143,71.65697674,62.65,66.06428571,41.56206897,69.75,65.25285714,83.89166667,56.04666667
1Unemployment%,14.7,2.32,9.366041667,9.308510638,9.196840278,8.633142857,9.57255814,9.395625,10.1830102,5.45,13.39,8.591,11.35833333,8.07
2Urban%,82.45899992,91.37118567,49.10943214,45.61359049,54.80830043,45.79712851,64.78873469,51.84181023,53.13127411,37.85385923,83.93224088,55.27780092,82.43203634,42.95922487
